==== zs_oxygen_b4_rec_20260922_205535_2.txt
SPAWN t=7.88 Roma p=[1432, -844, -95]
t=  1.91 Ruslan bot          st=hunt     intent=hunt     p=[1181, -674, -96] wish=[-0.24, 0.97] goal=[1379, 427, -64] path ok=1 reach=0 i=4 n=15 len=1433 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  2.12 Ruslan bot          st=hunt     intent=hunt     p=[1172, -633, -96] wish=[-0.25, 0.97] goal=[1379, 427, -64] path ok=1 reach=0 i=5 n=15 len=1433 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  2.33 Ruslan bot          st=hunt     intent=hunt     p=[1159, -592, -96] wish=[-0.34, 0.94] goal=[1379, 427, -64] path ok=1 reach=0 i=6 n=15 len=1433 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  2.55 Ruslan bot          st=hunt     intent=hunt     p=[1146, -551, -96] wish=[-0.13, 0.99] goal=[1379, 426, -64] path ok=1 reach=0 i=1 n=13 len=913 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  2.76 Ruslan bot          st=hunt     intent=hunt     p=[1138, -509, -96] wish=[-0.11, 0.99] goal=[1379, 421, -64] path ok=1 reach=0 i=2 n=13 len=913 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  2.97 Ruslan bot          st=hunt     intent=hunt     p=[1134, -468, -96] wish=[-0.05, 1] goal=[1379, 420, -64] path ok=1 reach=0 i=3 n=13 len=913 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  3.18 Ruslan bot          st=hunt     intent=hunt     p=[1132, -431, -96] wish=[-0.03, 1] goal=[1379, 420, -64] path ok=1 reach=0 i=4 n=13 len=913 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  7.00 Gena   bot          st=wander   intent=wander   p=[1149, -402, -96] wish=[-0.16, -0.99] goal=[1129, -526, -94] path ok=1 reach=1 i=2 n=6 len=381 endp=[1129, -526, -94] door=None comp=2120 gcomp=None mode=direct
t=  7.21 Gena   bot          st=wander   intent=wander   p=[1146, -423, -96] wish=[-0.16, -0.99] goal=[1129, -526, -94] path ok=1 reach=1 i=2 n=6 len=381 endp=[1129, -526, -94] door=None comp=2120 gcomp=None mode=direct
t=  7.42 Gena   bot          st=wander   intent=wander   p=[1143, -443, -96] wish=[-0.16, -0.99] goal=[1129, -526, -94] path ok=1 reach=1 i=2 n=6 len=381 endp=[1129, -526, -94] door=None comp=2120 gcomp=None mode=direct
t=  7.64 Gena   bot          st=wander   intent=wander   p=[1139, -463, -96] wish=[-0.16, -0.99] goal=[1129, -526, -94] path ok=1 reach=1 i=2 n=6 len=381 endp=[1129, -526, -94] door=None comp=2120 gcomp=None mode=direct
t=  7.85 Gena   bot          st=wander   intent=wander   p=[1136, -482, -96] wish=[-0.16, -0.99] goal=[1129, -526, -94] path ok=1 reach=1 i=2 n=6 len=381 endp=[1129, -526, -94] door=None comp=2120 gcomp=None mode=direct
t=  8.06 Gena   bot          st=wander   intent=wander   p=[1133, -481, -96] wish=[-0.12, 0.99] goal=[1129, -270, -94] path ok=1 reach=1 i=1 n=4 len=217 endp=[1129, -270, -94] door=None comp=2120 gcomp=None mode=path
SPAWN t=8.12 Oleg p=[1432, -844, -95]
t=  8.27 Gena   bot          st=wander   intent=wander   p=[1131, -462, -96] wish=[-0.01, 1] goal=[1129, -270, -94] path ok=1 reach=1 i=2 n=4 len=217 endp=[1129, -270, -94] door=None comp=2120 gcomp=None mode=direct
t=  8.27 Oleg   bot          st=hunt     intent=hunt     p=[1430, -844, -96] wish=[-1, -0.04] goal=[1379, 420, -64] path ok=1 reach=0 i=1 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  8.48 Gena   bot          st=wander   intent=wander   p=[1130, -441, -96] wish=[-0.01, 1] goal=[1129, -270, -94] path ok=1 reach=1 i=2 n=4 len=217 endp=[1129, -270, -94] door=None comp=2120 gcomp=None mode=direct
t=  8.48 Oleg   bot          st=hunt     intent=hunt     p=[1393, -845, -96] wish=[-1, -0.01] goal=[1379, 420, -64] path ok=1 reach=0 i=1 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  8.70 Gena   bot          st=wander   intent=wander   p=[1130, -421, -96] wish=[-0.01, 1] goal=[1129, -270, -94] path ok=1 reach=1 i=2 n=4 len=217 endp=[1129, -270, -94] door=None comp=2120 gcomp=None mode=direct
t=  8.70 Oleg   bot          st=hunt     intent=hunt     p=[1351, -846, -96] wish=[-1, 0] goal=[1379, 420, -64] path ok=1 reach=0 i=2 n=18 len=1414 endp=[1289, 274, -94] door=None comp=2120 gcomp=None mode=path
t=  8.91 Gena   bot          st=wander   intent=wander   p=[1130, -400, -96] wish=[-0.01, 1] goal=[1129, -270, -94] path ok=1 reach=1 i=2 n=4 len=217 endp=[1129, -270, -94] door=None comp=2120 gcomp=None mode=direct
